Price,Close,High,Low,Open,Volume,r,log-r
Ticker,JPM,JPM,JPM,JPM,JPM,,
Date,,,,,,,
2019-01-03,80.09551239013672,81.56364042417572,79.74910143005886,81.35744252517786,16286400,0.985788422448974,-0.014313529100200032
2019-01-04,83.04827117919922,83.24621940831322,81.06052033183786,81.74509889448885,16935200,1.036865470997675,0.036202191803573376
2019-01-07,83.10598754882812,83.69158871816998,82.23995401671648,82.83380486243198,15430700,1.0006949737641662,0.0006947323817295553
2019-01-08,82.94927978515625,83.98026914625875,82.10799523526687,83.82355674972007,13578800,0.9981143625351927,-0.0018874175171725712
2019-01-09,82.80906677246094,83.70808647519328,82.42141376571958,83.14722801084275,14230300,0.998309653645475,-0.00169177660189368
2019-01-10,82.80082702636719,83.08125943850604,81.87705818233273,82.49565187341088,14376100,0.9999004970540679,-9.950789667862052e-05
2019-01-11,82.40492248535156,82.61936374645781,81.61311710108608,82.38842313132197,15439900,0.9952185919484892,-0.004792875551454909
2019-01-14,83.25445556640625,83.60086648426537,81.3739319635599,81.54713742248946,21258500,1.0103092516251768,0.010256473714557639
2019-01-15,83.86479949951172,84.51638553596219,81.32444018357668,81.56363047234912,26504900,1.0073310662949282,0.007304324645420097
2019-01-16,84.54112243652344,85.32467178594457,83.96377094670358,84.33492457692216,18533000,1.0080644434977235,0.00803209964700338
2019-01-17,84.88752746582031,85.3659079772838,84.06273608439729,84.21944846051849,14247600,1.0040974737419293,0.004089101957382928
2019-01-18,86.26493835449219,86.5206279937287,84.81330987230011,85.58860958882144,16428700,1.016226304732771,0.016096065231935363
2019-01-22,84.90404510498047,85.44015458425199,84.2359596631196,85.01951541983836,17083700,0.9842242598734686,-0.015901501521120135
2019-01-23,84.68961334228516,85.53089812077155,84.10401198117633,85.31645680610842,12146700,0.9974744223030814,-0.002528772348297331
2019-01-24,84.73906707763672,85.02774281047978,84.07923773008959,84.2359438178278,11296800,1.000583940974576,0.0005837705473881929
2019-01-25,85.27519226074219,86.03399892675903,84.73907652985604,85.37416950561123,14369400,1.0063267770297055,0.006306846993672018
2019-01-28,85.6793212890625,85.97624667194756,84.61533971583411,84.86277963245783,12283100,1.0047391160032173,0.004727921746293816
2019-01-29,85.91853332519531,86.69383938747194,85.55562932612419,85.67934302315976,9743300,1.0027919459740555,0.002788055732109213
2019-01-30,86.11647033691406,86.80104239457233,85.5968477442513,85.89377314215608,12526300,1.0023037754959059,0.002301125873780834
2019-01-31,85.3659439086914,85.61338394433193,84.73085704645095,85.29171567359614,17520600,0.991284751624325,-0.008753448262414731
2019-02-01,85.6793212890625,86.47936988779955,85.38239590617744,85.77829851424367,13000800,1.0036709882890336,0.003664266656524775
2019-02-04,85.9844970703125,85.9844970703125,84.96175757213999,85.6050938095817,9871500,1.0035618370530786,0.003555508733991306
2019-02-05,85.60509490966797,86.23193809715875,85.19269923496641,86.20718907084341,12763000,0.9955875515520631,-0.004422212030043897
